Date,AT6,AT1,AT2,AT3,AT4,AT5,SWBC1,SWBC2,SWBC3,SWBC4,SWBC5,SWBC6,SWBC7,SWBC8,SWBC9,SWBC10,SWBC11,SWBC12,SWBC13,SWBC14,SWBC15
7/6/1990,17.6702509,2.71654719,3.052195339,-0.204749104,-0.796827293,2.889549142,2.874512,0.050782,3.234485,3.184442,0.100554,3.794118,2.399679,2.259137,3.359186,3.480178,0.314582,2.677415,2.23496,0.385864,2.178603
7/7/1990,16.99820789,1.859318995,0.088485662,-1.224014337,0.002323113,0.146356034,2.874597,0.050782,3.237061,3.191105,0.100554,3.800993,2.406735,2.259137,3.364333,3.480458,0.314582,2.682848,2.236319,0.385864,2.180201
7/8/1990,20.65412186,-0.17921147,0.156436678,-4.623655915,-1.804725873,1.734368776,2.874598,0.050782,3.238177,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/9/1990,22.49103943,2.629928315,3.26650239,0.088261649,-1.943116953,2.827296737,2.874598,0.050782,3.238177,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/10/1990,20.51971326,2.186379929,1.503509557,-0.549731184,-1.208681801,1.440765891,2.874598,0.050782,3.238177,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/11/1990,18.9516129,3.9979092,2.076612902,-0.312275987,-0.822049648,0.749858518,2.874598,0.050782,3.238177,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/12/1990,17.34767025,2.532855436,2.579151732,-0.555107526,-1.026815346,1.95293341,2.874598,0.050782,3.238181,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/13/1990,15.64516129,-0.141875747,1.119698327,-0.896505375,-0.754015666,1.215336729,2.874598,0.050782,3.238181,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/14/1990,17.66129032,0.624253287,0.77471625,-0.1859319,0.428780034,0.176722422,2.874598,0.050782,3.238181,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/15/1990,17.54480287,-0.140382318,-0.464456392,-1.205197133,0.147683525,-0.094086021,2.874598,0.050782,3.238181,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/16/1990,19.56989247,0.218040621,-0.788903825,-2.430107528,0.187176423,1.324278436,2.874598,0.050782,3.238181,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/17/1990,22.86738351,1.941457586,1.802568698,-1.632616487,-0.208748175,2.121769477,2.874598,0.050782,3.238181,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/18/1990,24.08602151,2.002688173,2.396206691,-0.747311829,-0.378999071,1.863799283,2.874598,0.050782,3.238181,3.191813,0.100554,3.801024,2.406791,2.259211,3.364448,3.480492,0.314582,2.682848,2.236396,0.385864,2.180209
7/19/1990,22.78673835,2.601553166,1.247386499,-0.393817204,-0.186512678,0.886153557,2.874912,0.050782,3.241938,3.19386,0.100554,3.801024,2.407876,2.259211,3.368635,3.480667,0.314582,2.682848,2.239177,0.385864,2.184802
7/20/1990,21.23655914,2.810633215,2.718040623,-0.805107527,-0.574140449,2.376910016,2.878446,0.050782,3.246661,3.195995,0.100554,3.801178,2.410128,2.259211,3.376613,3.481682,0.314582,2.682863,2.252137,0.385864,2.190998
7/21/1990,20.37634409,1.857825569,2.760603345,0.015232975,0.232311164,2.259060135,2.878446,0.050782,3.246661,3.195995,0.100554,3.801178,2.410128,2.259211,3.376613,3.481682,0.314582,2.682863,2.252137,0.385864,2.190998
7/22/1990,19.30107527,1.199223416,1.662186381,-0.643369176,0.206425063,0.906013541,2.878446,0.050782,3.246661,3.195995,0.100554,3.801178,2.410128,2.259211,3.376613,3.481682,0.314582,2.682863,2.252137,0.385864,2.190998
7/23/1990,17.30286738,0.219534048,0.832959975,-1.419354839,-1.318531793,0.98707791,2.878446,0.050782,3.246661,3.195995,0.100554,3.801178,2.410128,2.259211,3.376613,3.481682,0.314582,2.682863,2.252137,0.385864,2.190998
